exercicio;condicao;nivel_sugerido;nota_sugerida;aprovar (S/N);ajuste
Levantamento terra;Coluna lombar;cautela;"Carga axial e flexão de quadril; exige coluna neutra e progressão";;
Levantamento terra romeno;Coluna lombar;cautela;"Momento de flexão lombar alto; controlar amplitude";;
Remada curvada com barra;Coluna lombar;cautela;"Isometria lombar em flexão de quadril; considerar remada apoiada";;
Agachamento livre com barra;Coluna lombar;cautela;"Compressão axial pela barra nas costas; preferir goblet ou leg press";;
Agachamento livre com barra;Joelho;cautela;"Controlar amplitude e valgo; ajustar profundidade à dor";;
Agachamento livre com barra;Osteoporose;cautela;"Carga axial elevada; progredir com supervisão";;
Desenvolvimento militar com barra;Coluna lombar;cautela;"Tendência a hiperextensão lombar em pé; preferir sentado com apoio";;
Desenvolvimento militar com barra;Ombro;cautela;"Elevação acima da cabeça com carga; avaliar impacto subacromial";;
Desenvolvimento com halteres;Ombro;cautela;"Elevação acima da cabeça; limitar amplitude se houver dor";;
Abdominal supra;Coluna lombar;cautela;"Flexão repetida de tronco; preferir dead bug ou prancha";;
Abdominal supra;Coluna cervical;cautela;"Tração cervical com mãos na nuca; apoiar a cabeça";;
Abdominal supra;Osteoporose;evitar;Flexão de tronco repetida aumenta risco de fratura vertebral;;
Abdominal supra;Gestação;evitar;Flexão de tronco em decúbito e pressão na parede abdominal;;
Elevação de pernas deitado;Coluna lombar;cautela;Tração do psoas pode hiperestender a lombar;;
Elevação de pernas deitado;Gestação;evitar;Decúbito dorsal prolongado e pressão abdominal;;
Extensão lombar no banco romano;Coluna lombar;cautela;"Evitar hiperextensão final; amplitude controlada";;
Kettlebell swing;Coluna lombar;cautela;"Movimento balístico; exige padrão de dobradiça de quadril dominado";;
Leg press 45°;Coluna lombar;cautela;"Retroversão pélvica no fim da amplitude; limitar profundidade";;
Leg press 45°;Joelho;cautela;Evitar flexão profunda sob carga se houver dor;;
Encolhimento com halteres;Coluna cervical;cautela;"Tensão em trapézio superior; carga moderada";;
Barra fixa;Ombro;cautela;"Carga em abdução máxima; considerar puxada na polia";;
Tríceps no banco;Ombro;evitar;Extensão de ombro sob carga estressa a cápsula anterior;;
Crucifixo com halteres;Ombro;cautela;"Abdução horizontal com braço de alavanca longo; limitar amplitude";;
Supino reto com barra;Ombro;cautela;Limitar descida e ajustar pegada se houver dor;;
Flexão de braços;Cotovelo e punho;cautela;"Extensão de punho com carga; usar apoio neutro";;
Rosca direta com barra;Cotovelo e punho;cautela;"Supinação fixa na barra reta; considerar barra W ou halteres";;
Tríceps francês com halter;Cotovelo e punho;cautela;Estresse em flexão máxima do cotovelo;;
Afundo com halteres;Joelho;cautela;Controlar amplitude e alinhamento do joelho;;
Agachamento búlgaro;Joelho;cautela;Carga unilateral em flexão profunda;;
Cadeira extensora;Joelho;cautela;"Cisalhamento na extensão final; limitar amplitude se houver dor";;
Step-up no banco;Joelho;cautela;Ajustar altura do banco à tolerância;;
Cadeira adutora;Quadril;cautela;Limitar abertura se houver dor inguinal;;
Agachamento búlgaro;Quadril;cautela;Alongamento do flexor do quadril de trás sob carga;;
Burpee;Joelho;cautela;"Impacto no salto; versão sem salto";;
Burpee;Tornozelo e pé;cautela;"Impacto na aterrissagem; versão sem salto";;
Burpee;Hipertensão arterial;cautela;"Esforço intenso intermitente; monitorar percepção de esforço";;
Burpee;Cardiopatia;evitar;Esforço de alta intensidade sem liberação médica;;
Burpee;Gestação;evitar;Impacto e mudanças rápidas de posição;;
Panturrilha em pé;Tornozelo e pé;cautela;Amplitude controlada se houver dor no tendão;;
Prancha frontal;Hipertensão arterial;cautela;"Isometria prolongada; evitar apneia (Valsalva)";;
Prancha frontal;Gestação;cautela;"Pressão na parede abdominal; adaptar com apoio elevado";;
Leg press 45°;Hipertensão arterial;cautela;Evitar apneia e cargas máximas;;
Leg press 45°;Gestação;cautela;"Posição reclinada comprime o abdômen; adaptar";;
Supino reto com barra;Hipertensão arterial;cautela;Evitar Valsalva e cargas máximas;;
Levantamento terra;Hipertensão arterial;cautela;Evitar Valsalva e cargas máximas;;
Levantamento terra;Cardiopatia;cautela;"Esforço intenso; somente com liberação médica";;
Supino reto com halteres;Gestação;cautela;"Decúbito dorsal após o 1º trimestre; usar banco inclinado";;
Crucifixo com halteres;Gestação;cautela;"Decúbito dorsal após o 1º trimestre; usar banco inclinado";;
Remada curvada com barra;Osteoporose;cautela;Flexão de tronco com carga;;
Levantamento terra;Osteoporose;cautela;"Carga com flexão de quadril; técnica e progressão supervisionadas";;
Kettlebell swing;Osteoporose;cautela;Movimento balístico com carga;;
